Iteration,Full_Dataset_Recall
1,0.775510204
2,0.755102041
3,0.816326531
4,0.795918367
5,0.836734694
6,0.8
7,0.78
8,0.755102041
9,0.795918367
10,0.775510204
11,0.775510204
12,0.795918367
13,0.755102041
14,0.755102041
15,0.775510204
16,0.84
17,0.78
18,0.857142857
19,0.714285714
20,0.795918367
21,0.836734694
22,0.734693878
23,0.734693878
24,0.918367347
25,0.755102041
26,0.8
27,0.78
28,0.755102041
29,0.693877551
30,0.857142857
