Iteration,PCA_Only_Dataset_Recall
1,0.775510204
2,0.755102041
3,0.795918367
4,0.795918367
5,0.836734694
6,0.82
7,0.78
8,0.755102041
9,0.775510204
10,0.775510204
11,0.755102041
12,0.795918367
13,0.755102041
14,0.795918367
15,0.775510204
16,0.84
17,0.78
18,0.87755102
19,0.714285714
20,0.795918367
21,0.836734694
22,0.714285714
23,0.734693878
24,0.897959184
25,0.755102041
26,0.8
27,0.78
28,0.755102041
29,0.734693878
30,0.897959184
