Iteration,Full_Dataset_Recall
1,0.795918367
2,0.836734694
3,0.857142857
4,0.816326531
5,0.836734694
6,0.86
7,0.8
8,0.755102041
9,0.836734694
10,0.795918367
11,0.775510204
12,0.816326531
13,0.775510204
14,0.93877551
15,0.775510204
16,0.86
17,0.8
18,0.897959184
19,0.775510204
20,0.816326531
21,0.857142857
22,0.755102041
23,0.816326531
24,0.93877551
25,0.795918367
26,0.8
27,0.84
28,0.795918367
29,0.755102041
30,0.897959184
