Iteration,PCA_Only_Dataset_Recall
1,0.775510204
2,0.795918367
3,0.87755102
4,0.836734694
5,0.836734694
6,0.86
7,0.8
8,0.755102041
9,0.857142857
10,0.775510204
11,0.775510204
12,0.836734694
13,0.755102041
14,0.897959184
15,0.775510204
16,0.86
17,0.82
18,0.918367347
19,0.775510204
20,0.816326531
21,0.857142857
22,0.734693878
23,0.816326531
24,0.918367347
25,0.795918367
26,0.78
27,0.86
28,0.775510204
29,0.734693878
30,0.87755102
