Iteration,Full_Dataset_Recall
1,0.8571428571428571
2,0.9183673469387755
3,0.9387755102040817
4,0.9387755102040817
5,0.8979591836734694
6,0.98
7,0.9
8,0.9183673469387755
9,0.8571428571428571
10,0.8571428571428571
11,0.8571428571428571
12,0.9183673469387755
13,0.8571428571428571
14,0.9591836734693877
15,0.8775510204081632
16,0.94
17,0.92
18,0.9591836734693877
19,0.8775510204081632
20,0.8979591836734694
21,0.8775510204081632
22,0.8571428571428571
23,0.8775510204081632
24,0.9795918367346939
25,0.9183673469387755
26,0.86
27,0.92
28,0.8775510204081632
29,0.8775510204081632
30,0.9591836734693877
